vides-id,start_time,end_time,class,duration,folds,filename,foldername
ByZD9ujkkB4,50.0,60.0,2,10.0,1,50.wav,Doorbell
C3HqFyYZBGI,30.0,40.0,1,10.0,1,51.wav,Conversation
C4-_w6N3plU,30.0,40.0,1,10.0,1,52.wav,Conversation
DJF7cOpR_l0,150.0,160.0,1,10.0,1,53.wav,Conversation
DOtBB70Jgu4,60.0,70.0,2,10.0,1,54.wav,Doorbell
DwyOjLK00jQ,30.0,40.0,3,10.0,1,55.wav,Rain
EGc41s7IIZ0,400.0,410.0,2,10.0,1,56.wav,Doorbell
ESM5iFLydek,130.0,140.0,0,10.0,0,57.wav,Baby
EpOxIPicC7U,30.0,40.0,0,10.0,0,59.wav,Baby
Es0DobdL8Kc,270.0,280.0,2,10.0,1,60.wav,Doorbell
Ga2r3DZzJbk,30.0,40.0,1,10.0,1,62.wav,Conversation
Hjebqbe5wJg,120.0,130.0,3,10.0,1,66.wav,Rain
IM47_WohcnA,5.0,15.0,0,10.0,0,67.wav,Baby
IQ-sogJoyXk,30.0,40.0,3,10.0,1,68.wav,Rain
IWMMkp35d6Y,30.0,40.0,1,10.0,1,69.wav,Conversation
IlcfrqcH7tE,60.0,70.0,0,10.0,0,70.wav,Baby
IsVHwMN_Mnw,30.0,40.0,1,10.0,1,72.wav,Conversation
Iu1nK9ixxAc,0.0,10.0,1,10.0,2,73.wav,Conversation
JHgWe45u8NE,50.0,60.0,3,10.0,1,74.wav,Rain
JL76D1HWv-U,550.0,560.0,2,10.0,2,75.wav,Doorbell
Js41esZyKUM,7.0,17.0,0,10.0,1,77.wav,Baby
JvgYGGBGZpM,30.0,40.0,2,10.0,2,78.wav,Doorbell
KlVkArn952g,440.0,450.0,1,10.0,2,79.wav,Conversation
KzLpryLUYsk,30.0,40.0,1,10.0,2,80.wav,Conversation
LEwXpKnJMaQ,440.0,450.0,2,10.0,2,81.wav,Doorbell
LUZvCwRDK38,550.0,560.0,2,10.0,2,82.wav,Doorbell
LVW1oLMQksM,150.0,160.0,3,10.0,1,83.wav,Rain
M0HQ3VWaJpg,0.0,10.0,2,10.0,2,84.wav,Doorbell
M47-JuWnx6U,0.0,6.0,2,6.0,2,85.wav,Doorbell
MElc-0XqoSw,0.0,10.0,3,10.0,2,86.wav,Rain
MWUIcq2EtQs,220.0,230.0,1,10.0,2,87.wav,Conversation
N4wpaeLv5oc,200.0,210.0,1,10.0,2,88.wav,Conversation
NLNo9hvgWKs,28.0,38.0,0,10.0,1,89.wav,Baby
NQddcOXRcmI,9.0,19.0,0,10.0,1,90.wav,Baby
OA24pdxG9R4,30.0,40.0,2,10.0,2,92.wav,Doorbell
ORdW-nWhCfE,400.0,410.0,1,10.0,2,93.wav,Conversation
OuGic_IXSaA,1.0,11.0,0,10.0,1,95.wav,Baby
Plz7jhUlAWU,30.0,40.0,1,10.0,2,98.wav,Conversation
Pvwv32w0cXU,60.0,70.0,1,10.0,2,100.wav,Conversation
QbIrDllRK4E,0.0,9.0,0,9.0,1,101.wav,Baby
SFJm4TVL-gE,230.0,240.0,3,10.0,2,104.wav,Rain
SavkOa_GGLs,10.0,20.0,3,10.0,2,105.wav,Rain
SrzabTzuLWg,20.0,30.0,2,10.0,2,106.wav,Doorbell
U3kMEKCTwuE,40.0,50.0,2,10.0,3,109.wav,Doorbell
U8LvZzg_ruc,210.0,220.0,3,10.0,2,110.wav,Rain
UC4-ZQoRxAA,30.0,40.0,1,10.0,2,111.wav,Conversation
UCLfvzzhC9E,270.0,280.0,1,10.0,3,112.wav,Conversation
UFGtNyE9nL0,30.0,40.0,0,10.0,1,113.wav,Baby
USHLC03XQIw,60.0,70.0,1,10.0,3,114.wav,Conversation
UTe0kjf8j4o,90.0,100.0,1,10.0,3,115.wav,Conversation
UhXKXjckLyY,21.0,31.0,0,10.0,1,116.wav,Baby
VGpqLyx96Z8,20.0,30.0,2,10.0,3,118.wav,Doorbell
Vbx6TFxSPYY,70.0,80.0,2,10.0,3,119.wav,Doorbell
XDwyGwyglMg,0.0,10.0,0,10.0,1,122.wav,Baby
XeqE7ZHdJZg,30.0,40.0,0,10.0,1,123.wav,Baby
XgLQ4gHHb8g,30.0,40.0,3,10.0,2,124.wav,Rain
Xyf_kzNG-iA,350.0,360.0,3,10.0,2,125.wav,Rain
YBiSoKph78E,0.0,7.0,0,7.0,2,126.wav,Baby
YUhIbX0xn_E,30.0,40.0,0,10.0,2,127.wav,Baby
YhLgb_mzFbs,30.0,40.0,3,10.0,2,129.wav,Rain
Z0Ck_JzW0Y8,110.0,120.0,1,10.0,3,130.wav,Conversation
Z5wu71zydKE,0.0,10.0,0,10.0,2,131.wav,Baby
Zod0m8VClJA,3.0,13.0,0,10.0,2,134.wav,Baby
_1VZUONWYm4,0.0,10.0,1,10.0,3,135.wav,Conversation
_A4J2p4Dx6s,30.0,40.0,3,10.0,2,136.wav,Rain
aDMsH8STzE8,100.0,110.0,3,10.0,2,139.wav,Rain
aTu2S04Zizo,180.0,190.0,2,10.0,3,140.wav,Doorbell
b0lCe7u0aD4,29.0,39.0,0,10.0,2,141.wav,Baby
bk4X86Si6Zw,120.0,130.0,2,10.0,3,142.wav,Doorbell
bnohizQcIo0,0.0,10.0,1,10.0,3,143.wav,Conversation
c39jYgsvUOY,150.0,160.0,1,10.0,3,144.wav,Conversation
dI9HTTk6Mgs,0.0,10.0,3,10.0,2,146.wav,Rain
dJudErPaMWI,0.0,10.0,3,10.0,3,147.wav,Rain
diQMxBYNHH4,30.0,40.0,0,10.0,2,148.wav,Baby
dwP43cX6Ra4,170.0,180.0,3,10.0,3,149.wav,Rain
dxcs_lpcwj0,80.0,90.0,3,10.0,3,150.wav,Rain
eZvnPXlzG4o,110.0,120.0,3,10.0,3,152.wav,Rain
eywoMnysS10,30.0,40.0,3,10.0,3,154.wav,Rain
f-6QHVgMeC8,0.0,10.0,1,10.0,3,155.wav,Conversation
f0nYKgkFvMM,7.0,17.0,0,10.0,2,156.wav,Baby
f1PI8o_Gg7A,200.0,210.0,1,10.0,3,157.wav,Conversation
f3vRQc2w_Nk,80.0,90.0,0,10.0,2,158.wav,Baby
fY5cWL4SUmw,60.0,70.0,3,10.0,3,160.wav,Rain
fee8oYWdGck,90.0,100.0,3,10.0,3,161.wav,Rain
g0QwjI34YHg,30.0,40.0,0,10.0,2,163.wav,Baby
g6hqQz_iuDQ,20.0,30.0,2,10.0,3,164.wav,Doorbell
gXBH4_kdnh0,320.0,330.0,2,10.0,3,165.wav,Doorbell
ge8qO4-wBvY,0.0,10.0,1,10.0,4,166.wav,Conversation
h0A27Vd-NpU,30.0,40.0,2,10.0,3,167.wav,Doorbell
h5AKJPnIkCs,560.0,570.0,1,10.0,4,168.wav,Conversation
hGQgIubTiTA,30.0,40.0,0,10.0,3,169.wav,Baby
hUdmmFD1oTU,10.0,20.0,1,10.0,4,170.wav,Conversation
hhM7pEOpEAo,230.0,240.0,0,10.0,3,171.wav,Baby
i1TuCYXJaRo,23.0,33.0,0,10.0,3,172.wav,Baby
iHZWVC6q6U8,60.0,70.0,3,10.0,3,173.wav,Rain
iPL76K7w9yc,50.0,60.0,3,10.0,3,174.wav,Rain
im2DlcAOY1w,30.0,40.0,2,10.0,4,175.wav,Doorbell
jDdYqpYoIGY,100.0,110.0,3,10.0,3,176.wav,Rain
jmTwDCJDNUU,30.0,40.0,0,10.0,3,177.wav,Baby
jn1mSP8Hk8A,30.0,40.0,0,10.0,3,178.wav,Baby
knn0QET_7DY,30.0,40.0,3,10.0,4,182.wav,Rain
kseqhhdlsg0,130.0,140.0,3,10.0,4,183.wav,Rain
l7_OsTk1GgY,30.0,40.0,0,10.0,3,185.wav,Baby
lM-vvdglD2o,40.0,50.0,0,10.0,3,186.wav,Baby
lcaRpShgGhY,10.0,20.0,2,10.0,4,187.wav,Doorbell
my65DVXCPu4,30.0,40.0,3,10.0,4,189.wav,Rain
n0Jc1i6Ns4g,30.0,40.0,1,10.0,4,190.wav,Conversation
nfGDe975SrY,10.0,20.0,1,10.0,4,192.wav,Conversation
o4OMrBqHTRc,140.0,150.0,3,10.0,4,195.wav,Rain
okpTQM-Ft7A,70.0,80.0,3,10.0,4,196.wav,Rain
phaWZZdk8js,170.0,180.0,2,10.0,4,199.wav,Doorbell
pjs71n72xYM,30.0,40.0,0,10.0,3,200.wav,Baby
ptIHZv3KdJw,0.0,3.0,2,3.0,4,201.wav,Doorbell
q838lUfyL-E,30.0,40.0,3,10.0,4,202.wav,Rain
qDvjPPKHZlI,0.0,10.0,3,10.0,4,203.wav,Rain
qk2FYQw_pmo,160.0,170.0,1,10.0,4,204.wav,Conversation
qlH9XG3Gbmo,0.0,10.0,0,10.0,3,205.wav,Baby
rRom-lUCR44,30.0,40.0,1,10.0,4,207.wav,Conversation
s1fxGZUobaw,14.0,24.0,0,10.0,4,209.wav,Baby
skvi9dUjShY,30.0,40.0,0,10.0,4,210.wav,Baby
tHKwFuK16yU,80.0,90.0,1,10.0,4,213.wav,Conversation
tNEGx3WCwBA,0.0,4.0,2,4.0,4,214.wav,Doorbell
t_zbXrKUDEE,280.0,290.0,3,10.0,4,215.wav,Rain
tupFX4EzPn8,30.0,40.0,0,10.0,4,217.wav,Baby
u7KaWl9PTo0,240.0,250.0,3,10.0,4,218.wav,Rain
vQvy2WMvImM,30.0,40.0,0,10.0,4,222.wav,Baby
vmeWtjzGZPs,0.0,10.0,2,10.0,4,223.wav,Doorbell
weAnqreYaHw,30.0,40.0,0,10.0,4,224.wav,Baby
wz0ODrLYRyQ,290.0,300.0,1,10.0,4,226.wav,Conversation
x420lXvMz3k,30.0,40.0,0,10.0,4,227.wav,Baby
xyIcscTWV98,30.0,40.0,0,10.0,4,231.wav,Baby
y2A1Pmiu7yw,30.0,40.0,3,10.0,4,232.wav,Rain
y9na4SXQfFE,10.0,20.0,2,10.0,4,233.wav,Doorbell
yNqiSfX8e3Y,12.0,22.0,2,10.0,4,234.wav,Doorbell
zQpPfONDPXs,360.0,370.0,0,10.0,4,236.wav,Baby
zY1LJu1j4zw,30.0,40.0,0,10.0,4,237.wav,Baby
-0DdlOuIFUI,50.0,60.0,4,10.0,0,0.wav,Overflow
-5GhUbDLYkQ,16.0,26.0,4,10.0,0,1.wav,Overflow
-fwDsIyHHb8,140.0,150.0,4,10.0,0,3.wav,Overflow
0W69ei8lbec,220.0,230.0,4,10.0,0,4.wav,Overflow
1_25socxrqg,30.0,40.0,4,10.0,0,6.wav,Overflow
1nZfKi2bxjg,210.0,220.0,4,10.0,0,7.wav,Overflow
2BTD4IYcanQ,10.0,20.0,4,10.0,0,8.wav,Overflow
41OhRll8_lc,160.0,170.0,4,10.0,0,10.wav,Overflow
4nzHWYg4oFE,20.0,30.0,4,10.0,0,12.wav,Overflow
4zM7LNMqNjA,140.0,150.0,4,10.0,0,13.wav,Overflow
5XAAc184dUE,220.0,230.0,4,10.0,0,15.wav,Overflow
6zsk7B4jgxk,140.0,150.0,4,10.0,0,16.wav,Overflow
7RaP0v6zRcM,150.0,160.0,4,10.0,0,17.wav,Overflow
9MvouDWFXwk,590.0,600.0,4,10.0,0,18.wav,Overflow
APetMMb1Z7M,230.0,240.0,4,10.0,1,19.wav,Overflow
AY_sCyNNOZk,160.0,170.0,4,10.0,1,20.wav,Overflow
ArE_BqO-YPk,5.0,15.0,4,10.0,1,21.wav,Overflow
B2zlyUiQ-r8,100.0,110.0,4,10.0,1,22.wav,Overflow
BZXS6ZhiJ3Y,550.0,560.0,4,10.0,1,23.wav,Overflow
BjeQlVr9KnM,90.0,100.0,4,10.0,1,24.wav,Overflow
DAFyYUqTOIc,270.0,280.0,4,10.0,1,25.wav,Overflow
DMaYYIZL8YE,0.0,10.0,4,10.0,1,26.wav,Overflow
E_CC0-yBqVA,110.0,120.0,4,10.0,1,27.wav,Overflow
GtB7Pe7sTqk,490.0,500.0,4,10.0,1,29.wav,Overflow
I2Ivu9RNa7k,80.0,90.0,4,10.0,1,30.wav,Overflow
Id4HgJVqRM8,240.0,250.0,4,10.0,1,31.wav,Overflow
JZnEGPaycFk,70.0,80.0,4,10.0,1,32.wav,Overflow
Jp6z4ljSDnI,150.0,160.0,4,10.0,1,33.wav,Overflow
LdYW5BXj_vo,120.0,130.0,4,10.0,2,34.wav,Overflow
Lwv_rwOFPr4,30.0,40.0,4,10.0,2,35.wav,Overflow
MdkxyB4R01c,90.0,100.0,4,10.0,2,37.wav,Overflow
OB_A_is-CLo,110.0,120.0,4,10.0,2,38.wav,Overflow
OUSwUB9a_BI,30.0,40.0,4,10.0,2,39.wav,Overflow
Q1qZXcN22KI,40.0,50.0,4,10.0,2,40.wav,Overflow
Qta8fUxXUv0,370.0,380.0,4,10.0,2,41.wav,Overflow
SKmAZw8fe7U,70.0,80.0,4,10.0,2,42.wav,Overflow
Uj1iBDriTow,30.0,40.0,4,10.0,2,46.wav,Overflow
V8fcrz20Tdw,21.0,31.0,4,10.0,2,47.wav,Overflow
VrJgl3oF4YQ,130.0,140.0,4,10.0,2,48.wav,Overflow
WZZTSURpj0A,90.0,100.0,4,10.0,2,51.wav,Overflow
XCX7grfbrwQ,20.0,30.0,4,10.0,2,52.wav,Overflow
aERzneFiiCY,0.0,10.0,4,10.0,3,53.wav,Overflow
aswW9bLubYM,20.0,30.0,4,10.0,3,55.wav,Overflow
bje0A_p_9RY,80.0,90.0,4,10.0,3,56.wav,Overflow
emvw_i4RIkk,290.0,300.0,4,10.0,3,58.wav,Overflow
fqHyomb5D4E,550.0,560.0,4,10.0,3,59.wav,Overflow
gMIfvgLZVwg,170.0,180.0,4,10.0,3,60.wav,Overflow
gUpHlWC4gZ0,10.0,20.0,4,10.0,3,61.wav,Overflow
h94gKeoWBSo,160.0,170.0,4,10.0,3,62.wav,Overflow
hNphNEVd0Ko,240.0,250.0,4,10.0,3,63.wav,Overflow
iKXpg0lgTVs,190.0,200.0,4,10.0,3,64.wav,Overflow
jVYh6vc73oE,100.0,110.0,4,10.0,3,65.wav,Overflow
jykK0gPm9QA,50.0,60.0,4,10.0,3,66.wav,Overflow
nn7GU-5f5Ak,50.0,60.0,4,10.0,3,68.wav,Overflow
o6Du9mCBrW0,280.0,290.0,4,10.0,4,69.wav,Overflow
oS9d51NeUWU,570.0,580.0,4,10.0,4,70.wav,Overflow
pVh-biPY7A4,10.0,20.0,4,10.0,4,71.wav,Overflow
p_m-yxNgb-Y,370.0,380.0,4,10.0,4,72.wav,Overflow
qVdEXsguW9M,120.0,130.0,4,10.0,4,74.wav,Overflow
snNuW7RGBVc,90.0,100.0,4,10.0,4,76.wav,Overflow
tPGV-DfTe2g,120.0,130.0,4,10.0,4,77.wav,Overflow
uttDa-4b5zo,190.0,200.0,4,10.0,4,78.wav,Overflow
vtmNc58IKYU,100.0,110.0,4,10.0,4,80.wav,Overflow
xiA5BexwBhs,190.0,200.0,4,10.0,4,81.wav,Overflow
yOO-p4xp3nw,10.0,20.0,4,10.0,4,83.wav,Overflow
yQW_wdSNINc,50.0,60.0,4,10.0,4,84.wav,Overflow
zQFbu9kMk94,180.0,190.0,4,10.0,4,85.wav,Overflow
,0.0,10.0,5,10.0,0,1_00.wav,Object Falling
,0.0,10.0,5,10.0,0,1_01.wav,Object Falling
,0.0,9.0,5,9.0,0,1_02.wav,Object Falling
,0.0,7.0,5,7.0,0,1_03.wav,Object Falling
,0.0,10.0,5,10.0,0,2_00.wav,Object Falling
,0.0,10.0,5,10.0,1,2_01.wav,Object Falling
,0.0,9.0,5,9.0,1,2_02.wav,Object Falling
,0.0,10.0,5,10.0,1,2_03.wav,Object Falling
,0.0,10.0,5,10.0,1,2_04.wav,Object Falling
,0.0,10.0,5,10.0,1,3_00.wav,Object Falling
,0.0,10.0,5,10.0,2,3_01.wav,Object Falling
,0.0,9.0,5,9.0,2,3_02.wav,Object Falling
,0.0,10.0,5,10.0,2,3_03.wav,Object Falling
,0.0,10.0,5,10.0,2,4_00.wav,Object Falling
,0.0,10.0,5,10.0,2,5_00.wav,Object Falling
,0.0,10.0,5,10.0,3,5_01.wav,Object Falling
,0.0,9.0,5,9.0,3,5_02.wav,Object Falling
,0.0,10.0,5,10.0,3,6_00.wav,Object Falling
,0.0,10.0,5,10.0,3,6_01.wav,Object Falling
,0.0,9.0,5,9.0,3,6_02.wav,Object Falling
,0.0,10.0,5,10.0,4,6_03.wav,Object Falling
,0.0,10.0,5,10.0,4,6_04.wav,Object Falling
,0.0,9.0,5,9.0,4,6_05.wav,Object Falling
,0.0,2.0,5,2.0,4,7.wav,Object Falling
,0.0,6.0,5,6.0,4,8_00.wav,Object Falling
