YTID,start,end,labels
6qlfodh49BA,0.0,3.0,"/m/03wwcy,/m/07r67yg"
7P-1BJ1A9ME,2.0,12.0,/m/03wwcy
7sEqD9pB1nI,70.0,80.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
8CtGons_X48,30.0,40.0,"/m/03m9d0z,/m/06mb1,/t/dd00038,/t/dd00092"
8FYoIwYkoWY,190.0,200.0,"/m/06mb1,/t/dd00038"
8Mv_svNZKhE,30.0,40.0,"/m/09x0r,/t/dd00002"
8Ti-qa2gvoc,29.0,39.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
9Bg7XK1Uoyw,10.0,20.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
9Bln0rDEx_o,30.0,40.0,"/m/03wwcy,/m/04rlf"
9Cx-qZZAyQg,30.0,40.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
9JrBWGrC4-Q,0.0,10.0,"/m/09x0r,/t/dd00002"
9VJL-ktypNw,0.0,6.0,/m/03wwcy
9Wfg4h6CVqo,30.0,40.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
AKMuR1-yWAc,420.0,430.0,/m/01h8n0
AP8todOyU78,0.0,10.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
Add11iatg0Y,50.0,60.0,"/m/03wwcy,/m/04rlf,/m/09x0r,/t/dd00125"
BJ8up8BXMjg,570.0,580.0,/m/03wwcy
Bh2dm_FYKpE,30.0,40.0,/t/dd00002
BqQxzzVkToc,30.0,40.0,"/m/01h8n0,/m/04rlf,/m/09x0r"
BurGML_ZqSA,100.0,110.0,"/m/0395lw,/m/03wwcy,/m/07r67yg"
ByZD9ujkkB4,50.0,60.0,"/m/03wwcy,/m/09x0r,/t/dd00126"
C3HqFyYZBGI,30.0,40.0,"/m/01h8n0,/m/09x0r,/m/0l15bq"
C4-_w6N3plU,30.0,40.0,"/m/01h8n0,/m/02qldy,/m/02zsn,/m/09x0r"
DJF7cOpR_l0,150.0,160.0,"/m/01h8n0,/m/09x0r"
DOtBB70Jgu4,60.0,70.0,"/m/03wwcy,/m/05tny_,/m/068hy,/m/0bt9lr,/m/0jbk"
DwyOjLK00jQ,30.0,40.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
EGc41s7IIZ0,400.0,410.0,"/m/03wwcy,/m/04rlf"
ESM5iFLydek,130.0,140.0,"/m/0lyf6,/t/dd00002"
Ed2sxrdt8vQ,30.0,40.0,/t/dd00002
EpOxIPicC7U,30.0,40.0,"/m/09x0r,/t/dd00002"
Es0DobdL8Kc,270.0,280.0,"/m/03wwcy,/m/09x0r,/t/dd00125"
F7sg58qV70s,0.0,10.0,"/m/03wwcy,/m/04rlf,/m/09x0r"
Ga2r3DZzJbk,30.0,40.0,"/m/01h8n0,/m/09x0r"
GlO3MdKTpd4,30.0,40.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
HQsOY0A3xoI,30.0,40.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
HVv0jG7J0to,490.0,500.0,"/m/0261r1,/m/0463cq4,/m/04rlf,/m/09x0r,/t/dd00001,/t/dd00002"
Hjebqbe5wJg,120.0,130.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
IM47_WohcnA,5.0,15.0,/t/dd00002
IQ-sogJoyXk,30.0,40.0,"/m/07r10fb,/t/dd00038"
IWMMkp35d6Y,30.0,40.0,"/m/01h8n0,/m/04rlf,/m/0ytgt"
IlcfrqcH7tE,60.0,70.0,"/m/0463cq4,/m/09x0r,/t/dd00002"
IqXmQwHAzt8,0.0,10.0,"/m/03wwcy,/m/04rlf,/t/dd00125"
IsVHwMN_Mnw,30.0,40.0,/m/01h8n0
Iu1nK9ixxAc,0.0,10.0,/m/01h8n0
JHgWe45u8NE,50.0,60.0,"/m/06mb1,/m/07r10fb,/m/0838f,/t/dd00038"
JL76D1HWv-U,550.0,560.0,/m/03wwcy
JS_LYrOL8DM,520.0,530.0,"/m/01h8n0,/m/02c8p,/m/09x0r"
Js41esZyKUM,7.0,17.0,"/m/09x0r,/t/dd00002"
JvgYGGBGZpM,30.0,40.0,"/m/03wwcy,/m/09x0r,/t/dd00126"
KlVkArn952g,440.0,450.0,/m/01h8n0
KzLpryLUYsk,30.0,40.0,"/m/01h8n0,/m/09x0r"
LEwXpKnJMaQ,440.0,450.0,"/m/03wwcy,/m/09x0r"
LUZvCwRDK38,550.0,560.0,"/m/03wwcy,/m/09x0r,/t/dd00125"
LVW1oLMQksM,150.0,160.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
M0HQ3VWaJpg,0.0,10.0,"/m/03wwcy,/m/04rlf,/m/07r67yg"
M47-JuWnx6U,0.0,6.0,"/m/03wwcy,/m/09x0r"
MElc-0XqoSw,0.0,10.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
MWUIcq2EtQs,220.0,230.0,"/m/01h8n0,/m/09x0r"
N4wpaeLv5oc,200.0,210.0,"/m/01h8n0,/m/04rlf,/m/09x0r"
NLNo9hvgWKs,28.0,38.0,"/m/068hy,/m/0jbk,/t/dd00002"
NQddcOXRcmI,9.0,19.0,"/m/09x0r,/t/dd00002"
O5_wAnnhRMk,460.0,470.0,"/m/01hnzm,/m/03wwcy,/m/07cx4"
OA24pdxG9R4,30.0,40.0,"/m/03wwcy,/m/04rlf"
ORdW-nWhCfE,400.0,410.0,"/m/01h8n0,/m/03fwl,/m/09x0r,/m/0ch8v,/m/0jbk"
ORyyZ97wHYY,40.0,50.0,"/m/015jpf,/m/01h8n0,/m/07cx4,/m/09x0r"
OuGic_IXSaA,1.0,11.0,"/m/04rlf,/t/dd00002"
PK3ex2rqzLE,30.0,40.0,"/m/09x0r,/t/dd00002"
PVUVDVyh8zM,30.0,40.0,/t/dd00002
Plz7jhUlAWU,30.0,40.0,"/m/01h8n0,/m/09x0r"
PvGpTY3C9bs,480.0,490.0,"/m/03wwcy,/t/dd00125"
Pvwv32w0cXU,60.0,70.0,/m/01h8n0
QbIrDllRK4E,0.0,9.0,/t/dd00002
S8LTWw_PkbA,380.0,390.0,"/m/01h8n0,/m/09x0r"
SAhX9Dlp0Ds,90.0,100.0,"/m/01h8n0,/m/09x0r"
SFJm4TVL-gE,230.0,240.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
SavkOa_GGLs,10.0,20.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
SrzabTzuLWg,20.0,30.0,"/m/03wwcy,/m/09x0r"
TWTsgG7EOmk,450.0,460.0,"/m/0463cq4,/m/09x0r,/t/dd00002"
TlNCudch9qM,220.0,230.0,"/m/01h8n0,/m/09x0r"
U3kMEKCTwuE,40.0,50.0,/m/03wwcy
U8LvZzg_ruc,210.0,220.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
UC4-ZQoRxAA,30.0,40.0,"/m/01h8n0,/m/09x0r"
UCLfvzzhC9E,270.0,280.0,"/m/01h8n0,/m/09x0r"
UFGtNyE9nL0,30.0,40.0,"/m/09x0r,/t/dd00002"
USHLC03XQIw,60.0,70.0,/m/01h8n0
UTe0kjf8j4o,90.0,100.0,/m/01h8n0
UhXKXjckLyY,21.0,31.0,"/m/07qz6j3,/m/09x0r,/t/dd00002"
VG7oB4EEUoY,10.0,20.0,"/m/03wwcy,/m/09x0r"
VGpqLyx96Z8,20.0,30.0,"/m/03wwcy,/m/05tny_,/m/068hy,/m/07r67yg,/m/09x0r,/m/0bt9lr,/m/0jbk"
Vbx6TFxSPYY,70.0,80.0,"/m/0395lw,/m/03wwcy"
WcQdpMbE4Xk,330.0,340.0,"/m/01h8n0,/m/09x0r"
X3fziI3RKyY,20.0,30.0,"/m/09x0r,/m/0ytgt,/t/dd00002"
XDwyGwyglMg,0.0,10.0,/t/dd00002
XeqE7ZHdJZg,30.0,40.0,/t/dd00002
XgLQ4gHHb8g,30.0,40.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
Xyf_kzNG-iA,350.0,360.0,"/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
YBiSoKph78E,0.0,7.0,/t/dd00002
YUhIbX0xn_E,30.0,40.0,"/m/0463cq4,/t/dd00002"
YZsH4WvIkxE,40.0,50.0,"/m/03wwcy,/m/09x0r"
YhLgb_mzFbs,30.0,40.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
Z0Ck_JzW0Y8,110.0,120.0,"/m/01h8n0,/m/09x0r"
Z5wu71zydKE,0.0,10.0,"/m/0463cq4,/m/09x0r,/t/dd00002,/t/dd00125"
ZMiF2c7AMj4,30.0,40.0,"/m/03wwcy,/m/04rlf"
Z_XZlEw2FZY,60.0,70.0,/m/01h8n0
Zod0m8VClJA,3.0,13.0,"/m/09x0r,/t/dd00002"
_1VZUONWYm4,0.0,10.0,"/m/01h8n0,/m/09x0r"
_A4J2p4Dx6s,30.0,40.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
_PoDrQC5qAo,50.0,60.0,"/m/03wwcy,/m/04rlf,/m/09x0r"
a2YgBv4l_v8,10.0,20.0,"/m/06mb1,/m/07qwyj0,/m/07r10fb,/t/dd00038"
aDMsH8STzE8,100.0,110.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
aTu2S04Zizo,180.0,190.0,"/m/03wwcy,/m/04rlf,/m/09x0r"
b0lCe7u0aD4,29.0,39.0,"/m/09x0r,/t/dd00002"
bk4X86Si6Zw,120.0,130.0,"/m/03wwcy,/m/04rlf,/m/09x0r"
bnohizQcIo0,0.0,10.0,"/m/01h8n0,/m/04rlf,/m/09x0r"
c39jYgsvUOY,150.0,160.0,"/m/01h8n0,/m/09x0r"
cCs-Y_YrHO4,570.0,580.0,"/m/01h8n0,/m/09x0r"
dI9HTTk6Mgs,0.0,10.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
dJudErPaMWI,0.0,10.0,"/m/03m9d0z,/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038,/t/dd00092"
diQMxBYNHH4,30.0,40.0,"/m/04rlf,/t/dd00002"
dwP43cX6Ra4,170.0,180.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
dxcs_lpcwj0,80.0,90.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
e7mrGqwfJJI,360.0,370.0,/m/01h8n0
eZvnPXlzG4o,110.0,120.0,"/m/06mb1,/m/07qwyj0,/t/dd00038"
ext7avks0Jk,17.0,27.0,"/m/07qz6j3,/t/dd00002"
eywoMnysS10,30.0,40.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
f-6QHVgMeC8,0.0,10.0,"/m/01h8n0,/m/09x0r"
f0nYKgkFvMM,7.0,17.0,/t/dd00002
f1PI8o_Gg7A,200.0,210.0,"/m/01h8n0,/m/09x0r"
f3vRQc2w_Nk,80.0,90.0,"/m/0463cq4,/m/09x0r,/t/dd00002,/t/dd00125"
fL4gKimEsBA,360.0,370.0,"/m/01h8n0,/m/07c52,/m/09x0r"
fY5cWL4SUmw,60.0,70.0,"/m/06mb1,/t/dd00038"
fee8oYWdGck,90.0,100.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
fpWdNeGCKqc,40.0,50.0,"/m/0463cq4,/t/dd00002"
g0QwjI34YHg,30.0,40.0,"/m/09x0r,/t/dd00002"
g6hqQz_iuDQ,20.0,30.0,"/m/03wwcy,/m/068hy,/m/07r67yg,/m/09x0r,/m/0bt9lr,/m/0jbk"
gXBH4_kdnh0,320.0,330.0,"/m/03wwcy,/m/07pp8cl,/m/07r67yg"
ge8qO4-wBvY,0.0,10.0,"/m/01h8n0,/m/02zsn,/m/09x0r"
h0A27Vd-NpU,30.0,40.0,"/m/03wwcy,/m/04rlf,/m/09x0r"
h5AKJPnIkCs,560.0,570.0,"/m/01h8n0,/m/09x0r"
hGQgIubTiTA,30.0,40.0,/t/dd00002
hUdmmFD1oTU,10.0,20.0,"/m/01h8n0,/m/09x0r"
hhM7pEOpEAo,230.0,240.0,"/m/0261r1,/m/04rlf,/m/07r660_,/m/09x0r,/t/dd00002"
i1TuCYXJaRo,23.0,33.0,"/m/07qz6j3,/m/09x0r,/t/dd00002"
iHZWVC6q6U8,60.0,70.0,"/m/06mb1,/t/dd00038"
iPL76K7w9yc,50.0,60.0,"/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
im2DlcAOY1w,30.0,40.0,"/m/03wwcy,/m/04rlf,/m/09x0r"
jDdYqpYoIGY,100.0,110.0,"/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
jmTwDCJDNUU,30.0,40.0,"/m/09x0r,/t/dd00002"
jn1mSP8Hk8A,30.0,40.0,/t/dd00002
jotE032i05c,190.0,200.0,"/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
k4UGXjMosTg,100.0,110.0,"/m/01h8n0,/m/09x0r"
kNVmUxvzNi8,540.0,550.0,"/m/03wwcy,/m/04rlf,/m/09x0r,/t/dd00129"
knn0QET_7DY,30.0,40.0,"/m/06mb1,/t/dd00038"
kseqhhdlsg0,130.0,140.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
l02zrr6FC9M,40.0,50.0,"/m/0463cq4,/m/07r660_,/m/09x0r,/t/dd00002"
l7_OsTk1GgY,30.0,40.0,"/m/07qz6j3,/m/09x0r,/t/dd00002"
lM-vvdglD2o,40.0,50.0,"/m/0463cq4,/m/04rlf,/t/dd00002,/t/dd00125"
lcaRpShgGhY,10.0,20.0,"/m/03wwcy,/m/09x0r"
mm3aJ78TXak,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00002"
my65DVXCPu4,30.0,40.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
n0Jc1i6Ns4g,30.0,40.0,/m/01h8n0
nZIY8BKixjc,0.0,9.0,"/m/03wwcy,/m/04rlf,/m/07r67yg"
nfGDe975SrY,10.0,20.0,"/m/01h8n0,/m/09x0r"
noxJAKbY_J8,120.0,130.0,"/m/01h8n0,/m/09x0r"
nyR4ONkiUaU,30.0,40.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
o4OMrBqHTRc,140.0,150.0,"/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
okpTQM-Ft7A,70.0,80.0,"/m/06mb1,/m/07qwyj0,/m/07r10fb,/t/dd00038"
ouzbZBZLdwc,70.0,80.0,"/m/01h8n0,/m/04rlf,/m/09x0r"
p5qKt5zlYaA,21.0,31.0,"/m/09x0r,/t/dd00002"
phaWZZdk8js,170.0,180.0,"/m/03wwcy,/m/09x0r"
pjs71n72xYM,30.0,40.0,"/m/04rlf,/m/07qz6j3,/t/dd00002"
ptIHZv3KdJw,0.0,3.0,/m/03wwcy
q838lUfyL-E,30.0,40.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
qDvjPPKHZlI,0.0,10.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
qk2FYQw_pmo,160.0,170.0,"/m/01h8n0,/m/09x0r"
qlH9XG3Gbmo,0.0,10.0,"/m/09x0r,/t/dd00002"
r-btllT6g4k,430.0,440.0,"/m/01h8n0,/m/09x0r"
rRom-lUCR44,30.0,40.0,"/m/01h8n0,/m/09x0r"
rrEB1RcaSMk,60.0,70.0,/m/01h8n0
s1fxGZUobaw,14.0,24.0,"/m/0463cq4,/m/09x0r,/t/dd00002"
skvi9dUjShY,30.0,40.0,/t/dd00002
sorRkcFRl3w,150.0,160.0,"/m/03wwcy,/m/07r67yg,/m/09x0r,/t/dd00128"
tC2bf968d8M,440.0,450.0,"/m/03wwcy,/m/04rlf"
tHKwFuK16yU,80.0,90.0,"/m/01h8n0,/m/09x0r"
tNEGx3WCwBA,0.0,4.0,/m/03wwcy
t_zbXrKUDEE,280.0,290.0,"/m/06mb1,/m/07r10fb,/m/0jb2l,/t/dd00038"
taiPZ1ea-jE,20.0,30.0,"/m/04rlf,/m/07qz6j3,/m/09x0r,/t/dd00002"
tupFX4EzPn8,30.0,40.0,"/m/04rlf,/t/dd00002"
u7KaWl9PTo0,240.0,250.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
uYY7cJzqyMU,570.0,580.0,/m/03wwcy
ucJC2w8dLg4,10.0,20.0,"/m/06mb1,/m/07r10fb,/t/dd00038"
v9DRBuLXpKQ,400.0,410.0,"/m/03wwcy,/m/09x0r,/t/dd00126"
vQvy2WMvImM,30.0,40.0,/t/dd00002
vmeWtjzGZPs,0.0,10.0,"/m/03wwcy,/m/07r67yg"
weAnqreYaHw,30.0,40.0,/t/dd00002
wtA8A8_jBo4,30.0,40.0,"/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
wz0ODrLYRyQ,290.0,300.0,"/m/01h8n0,/m/09x0r"
x420lXvMz3k,30.0,40.0,"/m/068hy,/m/09x0r,/m/0jbk,/t/dd00002"
xOUZBQdeXGc,400.0,410.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
xjDFL8puUjM,50.0,60.0,"/m/03wwcy,/m/04rlf,/m/09x0r,/t/dd00125"
xmGaFoVI2Co,30.0,40.0,"/m/09x0r,/t/dd00002"
xyIcscTWV98,30.0,40.0,"/m/04rlf,/m/07qz6j3,/t/dd00002"
y2A1Pmiu7yw,30.0,40.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
y9na4SXQfFE,10.0,20.0,"/m/03wwcy,/m/09x0r"
yNqiSfX8e3Y,12.0,22.0,"/m/03wwcy,/m/04rlf"
yw9MbiKIhdM,120.0,130.0,"/m/01h8n0,/m/09x0r"
zQpPfONDPXs,360.0,370.0,"/m/0463cq4,/m/09x0r,/t/dd00002,/t/dd00125"
zY1LJu1j4zw,30.0,40.0,/t/dd00002
zkNbNA2mLIg,20.0,30.0,/t/dd00002
zuW75_LUwCE,400.0,410.0,"/m/02zsn,/m/03wwcy,/m/09x0r"
